Artist,Title,ISRC,UPC,EAN,ISWC,Catalog Number,ASCAP Work ID,MLC Song Code,SoundExchange ID,Amazon ASIN,Release Artist,Release,Release Label,Release Date,Year,Duration,(P)Line,(C)Line,Writer/Composer 1,Writer/Composer 1 IPI,Writer/Composer 2,Writer/Composer 2 IPI,Writer/Composer 3,Writer/Composer 3 IPI,Publisher,Publisher IPI,MusicBrainz,Discogs,Rap Genius
Dezolent,Descent,USJ3V1232957,`886296197774,,T3294821679,DEZ-13-0001-W,927983362,DQ2G0O,SX213N62VN,,Dezolent,It's Dezolent,"Dezolent, LLC",3/5/13,2013,3:20,,,Joseph Christian Hill,1269960012,,,,,Dezolent,1269696098,https://musicbrainz.org/release/e14f83cc-08fd-4998-8c18-90cad794c855,,
Dezolent,Recrudescence,USJ3V1232961,`886296197774,,T3294821577,DEZ-13-0001-W,927983368,RO35FU,SX213N62FG,,Dezolent,It's Dezolent,"Dezolent, LLC",3/5/13,2013,3:20,,,Joseph Christian Hill,1269960012,,,,,Dezolent,1269696098,https://musicbrainz.org/release/e14f83cc-08fd-4998-8c18-90cad794c855,,
Dezolent,It's Dezolent,USJ3V1232959,`886296197774,,T3294821613,DEZ-13-0001-W,927983366,I34J3L,SX213N60T2,,Dezolent,It's Dezolent,"Dezolent, LLC",3/5/13,2013,2:40,,,Joseph Christian Hill,1269960012,,,,,Dezolent,1269696098,https://musicbrainz.org/release/e14f83cc-08fd-4998-8c18-90cad794c855,,
Dezolent,Reckoning,USJ3V1232960,`886296197774,,T3294828443,DEZ-13-0001-W,927983367,RO35BX,SX213N5PZ3,,Dezolent,It's Dezolent,"Dezolent, LLC",3/5/13,2013,3:04,,,Joseph Christian Hill,1269960012,,,,,Dezolent,1269696098,https://musicbrainz.org/release/e14f83cc-08fd-4998-8c18-90cad794c855,,
Dezolent,Faded Memories,USJ3V1232958,`886296197774,,T3294828545,DEZ-13-0001-W,927983363,FB0ZZA,SX213N5PKF,,Dezolent,It's Dezolent,"Dezolent, LLC",3/5/13,2013,4:18,,,Joseph Christian Hill,1269960012,,,,,Dezolent,1269696098,https://musicbrainz.org/release/e14f83cc-08fd-4998-8c18-90cad794c855,,
Dezolent,Fallen Star,QZFP52028764,`085494414090,,T3294665326,DEZ-13-0002-W,927979062,FA7TVZ,SX215M385V,,Dezolent,Fallen Star,"Dezolent, LLC",12/5/13,2013,3:49,℗ 2013 Dezolent,© 2013 Dezolent,Joseph Christian Hill,1269960012,,,,,Dezolent,1269696098,https://musicbrainz.org/release/01a18922-64a8-465b-85f7-4b8ebe364b3a,,
Dezolent,Higher,QM42K2054080,`085494582393,,T3294665246,DEZ-14-0001-W,927979064,HP41OS,SX215KOGET,,Dezolent,Higher,"Dezolent, LLC",41695,2014,0.1625,℗ 2014 Dezolent,© 2014 Dezolent,Joseph Christian Hill,1269960012,,,,,Dezolent,1269696098,https://musicbrainz.org/release/f5af82d3-25d0-4758-8292-181ff4c317b4,,
Dezolent,Gone,GBKQU1591272,`085494590619,,T3294665304,DEZ-14-0002-W,927979043,GB0SLK,SX311ZBDM8,,Dezolent,Gone,"Dezolent, LLC",9/24/14,2024,4:18,"℗ 2025 Dezolent, LLC","© 2025 Dezolent, LLC",Joseph Christian Hill,1269960012,,,,,Dezolent,1269696098,,https://www.discogs.com/release/35303032-Dezolent-feat-Mona-Moua-Gone,
Koi & Dezolent,New,US83Z1792425,`853565560171,,T3353958422,DEZ-17-0001-W,932260749,T44J4J,,,Koi & Dezolent,New,Pineapple Grooves,11/20/17,2017,3:16,℗ 2017 Pineapple Grooves,© 2017 Pineapple Grooves,Joseph Christian Hill,1269960012,,,,,Dezolent,1269696098,,,
Dezolent,Last Seven Days,GBKQU1994609,`5054283852547,,T3294665155,DEZ-18-0001-W,927979059,LS5XV9,SX216B7B0Z,,Dezolent,Last Seven Days,The EDM Collective,43350,2018,4:07,℗ The EDM Collective,© The EDM Collective,Joseph Christian Hill,1269960012,,,,,Dezolent,1269696098,https://musicbrainz.org/release/7915d218-455a-45c5-bc2f-b6620261d756,,
Dezolent,Introspection (feat. Rapzor),GBKQU2003741,`5054284828282,,T3294665177,DEZ-20-0001-W,927979097,I31FU0,SX216B76VX,,Dezolent,Introspection,Revamped Recordings,43850,2020,0.148611111,℗ Revamped Recordings,© Revamped Recordings,Joseph Christian Hill,1269960012,,,,,Dezolent,1269696098,https://musicbrainz.org/release/91e8f6fe-008d-4ca7-b41a-2d58efd9b36b,,
Dezolent,Sleepless,QZHN62032511,`195395500959,,T3294665166,DEZ-2025-0001-W,927979069,S66H04,SX212XCB44,,Dezolent,Sleepless,"Dezolent, LLC",44013,2020,0.155555556,"℗ 2020 Dezolent, LLC","© 2020 Dezolent, LLC",Joseph Christian Hill,1269960012,,,,,Dezolent,1269696098,https://musicbrainz.org/release/93923e9b-c080-4368-ada1-0fa6119539f3,,
Dezolent,Feelings,QZNWZ2073120,`195918759277,,T3294665199,DEZ-21-0001-W,927979057,FA67TU,SX212VIJJH,,Dezolent,Feelings,"Dezolent, LLC",44209,2020,0.124305556,"℗ 2020 Dezolent, LLC","© 2020 Dezolent, LLC",Joseph Christian Hill,1269960012,,,,,Dezolent,1269696098,https://musicbrainz.org/release/c08d5ec6-81db-4bcc-9e54-6204909bd468,,
